date,close
2022-03-04,2617.156006
2022-03-05,2664.831055
2022-03-06,2555.037354
2022-03-07,2497.77124
2022-03-08,2576.747559
2022-03-09,2729.783447
2022-03-10,2608.048584
2022-03-11,2559.562988
2022-03-12,2574.75415
2022-03-13,2518.94458
2022-03-14,2590.696045
2022-03-15,2620.149658
2022-03-16,2772.055664
2022-03-17,2814.854492
2022-03-18,2945.343018
2022-03-19,2946.25708
2022-03-20,2860.459229
2022-03-21,2897.976563
2022-03-22,2973.131104
2022-03-23,3031.067139
2022-03-24,3108.062012
2022-03-25,3106.671387
2022-03-26,3143.178955
2022-03-27,3291.577637
2022-03-28,3336.634521
2022-03-29,3401.987793
2022-03-30,3385.157959
2022-03-31,3281.642822
2022-04-01,3449.552246
2022-04-02,3445.059326
2022-04-03,3522.833496
2022-04-04,3521.241211
2022-04-05,3411.79248
2022-04-06,3171.691895
2022-04-07,3233.274658
2022-04-08,3192.073975
2022-04-09,3261.91626
2022-04-10,3211.866943
2022-04-11,2981.052246
2022-04-12,3030.376465
2022-04-13,3118.344238
2022-04-14,3019.909424
2022-04-15,3040.916504
2022-04-16,3062.310303
2022-04-17,2993.40332
2022-04-18,3057.606689
2022-04-19,3104.106445
2022-04-20,3077.74585
2022-04-21,2987.480713
2022-04-22,2964.835693
2022-04-23,2938.114014
2022-04-24,2922.732666
2022-04-25,3009.393555
2022-04-26,2808.29834
2022-04-27,2888.929688
2022-04-28,2936.940918
2022-04-29,2815.601807
2022-04-30,2730.186768
2022-05-01,2827.756104
2022-05-02,2857.4104
2022-05-03,2783.476318
2022-05-04,2940.644775
2022-05-05,2749.213135
2022-05-06,2694.979736
2022-05-07,2636.093018
2022-05-08,2517.459961
2022-05-09,2245.43042
2022-05-10,2343.510986
2022-05-11,2072.108643
2022-05-12,1961.701538
2022-05-13,2014.418213
2022-05-14,2056.273926
2022-05-15,2145.706787
2022-05-16,2022.725952
2022-05-17,2090.40918
2022-05-18,1916.656128
2022-05-19,2018.336182
2022-05-20,1961.315674
2022-05-21,1974.518311
2022-05-22,2043.170166
2022-05-23,1972.181885
2022-05-24,1978.982788
2022-05-25,1944.827881
2022-05-26,1803.91333
2022-05-27,1724.922852
2022-05-28,1757.941772
2022-05-29,1812.031006
2022-05-30,1996.441284
2022-05-31,1942.328003
2022-06-01,1823.569336
2022-06-02,1834.150513
2022-06-03,1775.078613
2022-06-04,1801.609497
2022-06-05,1805.204956
2022-06-06,1859.289673
2022-06-07,1814.04834
2022-06-08,1793.572266
2022-06-09,1789.82605
2022-06-10,1665.042236
2022-06-11,1529.663452
2022-06-12,1445.216553
2022-06-13,1204.582764
2022-06-14,1211.662842
2022-06-15,1233.206421
2022-06-16,1067.730713
2022-06-17,1086.519287
2022-06-18,993.63678
2022-06-19,1127.656494
2022-06-20,1127.642456
2022-06-21,1124.824585
2022-06-22,1051.421875
2022-06-23,1143.386719
2022-06-24,1226.844727
2022-06-25,1243.446899
2022-06-26,1199.831665
2022-06-27,1193.680664
2022-06-28,1144.579224
2022-06-29,1098.943848
2022-06-30,1067.298828
2022-07-01,1059.767334
2022-07-02,1066.512817
2022-07-03,1073.766968
2022-07-04,1151.059082
2022-07-05,1134.541016
2022-07-06,1186.973999
2022-07-07,1237.593384
2022-07-08,1222.506226
